ID_MUESTRA,CODIGO_MUESTRA,ID_MUESTRA_FISICA,CODIGO_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA,VISITA,SECUENCIA_INYECCION
185,83_MB_39_B+0_1_POS,84,83_MB_39_B+0_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
186,84_MB_40_A-0_2_POS,85,84_MB_40_A-0_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
187,85_POOLED_QC_10_POS,86,85_POOLED_QC_10,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,10,
188,86_MB_41_B+1_1_POS,87,86_MB_41_B+1_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
189,87_MB_42_C-1_2_POS,88,87_MB_42_C-1_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
190,88_MB_43_B-2_1_POS,89,88_MB_43_B-2_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
191,89_MB_44_C+1_3_POS,90,89_MB_44_C+1_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
192,90_MB_45_B-0_1_POS,91,90_MB_45_B-0_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
193,91_POOLED_QC_11_POS,92,91_POOLED_QC_11,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,11,
194,92_MB_46_C-1_3_POS,93,92_MB_46_C-1_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
195,93_MB_47_C+0_3_POS,94,93_MB_47_C+0_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
196,94_MB_48_B-0_2_POS,95,94_MB_48_B-0_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
197,95_MB_49_A-0_3_POS,96,95_MB_49_A-0_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
198,96_MB_50_B-2_2_POS,97,96_MB_50_B-2_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
199,97_POOLED_QC_12_POS,98,97_POOLED_QC_12,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,12,
200,98_MB_51_A-2_2_POS,99,98_MB_51_A-2_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
201,99_MB_52_C+1_1_POS,100,99_MB_52_C+1_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
