ID_MUESTRA,ID_MUESTRA_FISICA,TIPO_MUESTRA,LOTE,ID_ESPECIE,TIPO_CULTIVO,PARTE_ESTUDIADA,ORIGEN_GEOGRAFICO,EXPOSICION_LUZ,ESTADIO_MADUREZ,METODO_EXTRACCION,SOLVENTE_EXTRACCION,MODO_IONIZACION,COLUMNA_CROMATOGRAFICA
MB_19_C-2_2_NEG,MB_19_C-2_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_20_C+0_1_NEG,MB_20_C+0_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Luz,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_6_NEG,POOLED_QC_6,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_21_C-2_3_NEG,MB_21_C-2_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_22_C-1_1_NEG,MB_22_C-1_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_23_B+1_3_NEG,MB_23_B+1_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_24_A+1_2_NEG,MB_24_A+1_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_25_B-0_3_NEG,MB_25_B-0_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Sombra,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_7_NEG,POOLED_QC_7,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_26_A+1_3_NEG,MB_26_A+1_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
